Instance	size	Type	Crossover	hybridation	Nrun	NGeneration	sizepop	Times	deviation
sources/sko100b.dat	100	T1	UX	NO	0	10000	8	0.435	16.032231
sources/sko100b.dat	100	T1	UX	NO	1	10000	8	0.432	15.516278
sources/sko100b.dat	100	T1	UX	NO	2	10000	8	0.433	15.885373
sources/sko100b.dat	100	T1	UX	NO	3	10000	8	0.432	15.674833
sources/sko100b.dat	100	T1	UX	NO	4	10000	8	0.434	16.293456
sources/sko100b.dat	100	T1	UX	NO	5	10000	8	0.432	15.488986
sources/sko100b.dat	100	T1	UX	NO	6	10000	8	0.433	15.772305
sources/sko100b.dat	100	T1	UX	NO	7	10000	8	0.433	15.657937
sources/sko100b.dat	100	T1	UX	NO	8	10000	8	0.433	16.257067
sources/sko100b.dat	100	T1	UX	NO	9	10000	8	0.433	15.566963
sources/sko100b.dat	100	T1	UX	YES	0	10000	8	348.502	0.168952
sources/sko100b.dat	100	T1	UX	YES	1	10000	8	348.324	0.197544
sources/sko100b.dat	100	T1	UX	YES	2	10000	8	341.768	0.110469
sources/sko100b.dat	100	T1	UX	YES	3	10000	8	347.586	0.193645
sources/sko100b.dat	100	T1	UX	YES	4	10000	8	341.640	0.191046
sources/sko100b.dat	100	T1	UX	YES	5	10000	8	350.255	0.154656
sources/sko100b.dat	100	T1	UX	YES	6	10000	8	342.822	0.218338
sources/sko100b.dat	100	T1	UX	YES	7	10000	8	341.981	0.137761
sources/sko100b.dat	100	T1	UX	YES	8	10000	8	339.587	0.133862
sources/sko100b.dat	100	T1	UX	YES	9	10000	8	350.859	0.159854
sources/sko100b.dat	100	T1	OPX	NO	0	10000	8	0.425	15.395412
sources/sko100b.dat	100	T1	OPX	NO	1	10000	8	0.424	16.501397
sources/sko100b.dat	100	T1	OPX	NO	2	10000	8	0.428	16.249269
sources/sko100b.dat	100	T1	OPX	NO	3	10000	8	0.426	14.853467
sources/sko100b.dat	100	T1	OPX	NO	4	10000	8	0.425	15.754110
sources/sko100b.dat	100	T1	OPX	NO	5	10000	8	0.425	15.266749
sources/sko100b.dat	100	T1	OPX	NO	6	10000	8	0.425	15.490285
sources/sko100b.dat	100	T1	OPX	NO	7	10000	8	0.424	14.423289
sources/sko100b.dat	100	T1	OPX	NO	8	10000	8	0.425	14.375203
sources/sko100b.dat	100	T1	OPX	NO	9	10000	8	0.425	15.179674
sources/sko100b.dat	100	T1	OPX	YES	0	10000	8	115.833	0.127364
sources/sko100b.dat	100	T1	OPX	YES	1	10000	8	100.166	0.314510
sources/sko100b.dat	100	T1	OPX	YES	2	10000	8	105.782	0.768081
sources/sko100b.dat	100	T1	OPX	YES	3	10000	8	110.899	0.447073
sources/sko100b.dat	100	T1	OPX	YES	4	10000	8	110.201	0.561440
sources/sko100b.dat	100	T1	OPX	YES	5	10000	8	109.279	1.061797
sources/sko100b.dat	100	T1	OPX	YES	6	10000	8	114.465	0.548444
sources/sko100b.dat	100	T1	OPX	YES	7	10000	8	113.518	0.356099
sources/sko100b.dat	100	T1	OPX	YES	8	10000	8	104.685	0.077978
sources/sko100b.dat	100	T1	OPX	YES	9	10000	8	110.860	0.679706
sources/sko100b.dat	100	T1	TPX	NO	0	10000	8	0.426	15.446098
sources/sko100b.dat	100	T1	TPX	NO	1	10000	8	0.427	16.258366
sources/sko100b.dat	100	T1	TPX	NO	2	10000	8	0.428	15.798297
sources/sko100b.dat	100	T1	TPX	NO	3	10000	8	0.428	15.729417
sources/sko100b.dat	100	T1	TPX	NO	4	10000	8	0.427	16.706739
sources/sko100b.dat	100	T1	TPX	NO	5	10000	8	0.427	16.046527
sources/sko100b.dat	100	T1	TPX	NO	6	10000	8	0.430	16.322048
sources/sko100b.dat	100	T1	TPX	NO	7	10000	8	0.426	16.155696
sources/sko100b.dat	100	T1	TPX	NO	8	10000	8	0.427	16.528689
sources/sko100b.dat	100	T1	TPX	NO	9	10000	8	0.427	15.958152
sources/sko100b.dat	100	T1	TPX	YES	0	10000	8	169.943	0.029891
sources/sko100b.dat	100	T1	TPX	YES	1	10000	8	159.877	0.053285
sources/sko100b.dat	100	T1	TPX	YES	2	10000	8	175.300	0.179349
sources/sko100b.dat	100	T1	TPX	YES	3	10000	8	174.232	0.157255
sources/sko100b.dat	100	T1	TPX	YES	4	10000	8	163.898	0.211840
sources/sko100b.dat	100	T1	TPX	YES	5	10000	8	170.778	0.162454
sources/sko100b.dat	100	T1	TPX	YES	6	10000	8	166.279	0.118266
sources/sko100b.dat	100	T1	TPX	YES	7	10000	8	144.850	0.263825
sources/sko100b.dat	100	T1	TPX	YES	8	10000	8	156.173	0.267724
sources/sko100b.dat	100	T1	TPX	YES	9	10000	8	141.771	0.025993
